Date,Day of the Week,Amount,Description,Category ,Method of Payment
,,,,Housing,Cash
01/19/23,Thursday,6,Applecare,Bills,Debit
01/20/23,Friday,11.48,MeetFresh,Food,Debit
01/21/23,Saturday,27.09,MeetFresh,Food,Debit
01/22/23,Sunday,10,Clipper Card,Travel,Debit
01/22/23,Sunday,33.18,Ramen,Food,Debit
01/22/23,Sunday,63.75,Clothes,Entertainment and Recreation,Debit
01/22/23,Sunday,6.59,Ice Cream,Food,Debit
01/22/23,Sunday,19.51,Miniso,Entertainment and Recreation,Debit
01/22/23,Sunday,6.49,Ice Cream,Food,Debit
01/22/23,Sunday,5,Jibits,Entertainment and Recreation,Cash
01/22/23,Sunday,14.05,Walgreens,Entertainment and Recreation,Debit
01/22/23,Sunday,3.05,Bread,Food,Debit
01/23/23,Monday,32.63,Jewelry,Entertainment and Recreation,Debit
01/24/23,Tuesday,8.26,Ice Cream,Food,Debit
01/24/23,Tuesday,5.5,Milk Tea,Food,Debit
01/25/23,Wednesday,14.62,Ice Cream,Food,Debit
01/25/23,Wednesday,14.75,Pokebowl,Food,Debit
01/25/23,Wednesday,32.58,Clothes,Entertainment and Recreation,Debit
01/25/23,Wednesday,8.08,Drink,Food,Debit
01/25/23,Wednesday,5,Bag,Entertainment and Recreation,Debit
01/26/23,Thursday,4.99,Spotify,Entertainment and Recreation,Debit
01/26/23,Thursday,19.21,Pizza,Food,Debit
01/27/23,Friday,18.6,Target,Entertainment and Recreation,Debit
01/27/23,Friday,0.57,Target,Entertainment and Recreation,Debit
01/27/23,Friday,7.48,Frozen Yogurt,Food,Debit
01/28/23,Saturday,30.32,Button up Shirt,Entertainment and Recreation,Debit
01/28/23,Saturday,34.17,Sweater,Entertainment and Recreation,Debit
01/29/23,Sunday,19.56,Pho,Food,Debit
01/29/23,Sunday,5.49,Thai Tea,Food,Debit
01/29/23,Sunday,10,Clipper Card,Travel,Debit
01/29/23,Sunday,38.06,Makeup,Entertainment and Recreation,Debit
01/31/23,Tuesday,15.76,Skyline Food,Food,Debit